instance,num_colors,time,generations,population_size,offspring_size,mutation_probaility,population_ratio
le450_15a.col,63,35639,80000,100,2,0.01,0.2
le450_15b.col,58,36904,80000,100,2,0.01,0.2
le450_15c.col,79,38481,80000,100,2,0.01,0.2
le450_15d.col,75,46492,80000,100,2,0.01,0.2
le450_25a.col,69,50437,80000,100,2,0.01,0.2
le450_25b.col,67,37418,80000,100,2,0.01,0.2
le450_25c.col,86,52729,80000,100,2,0.01,0.2
le450_25d.col,84,40242,80000,100,2,0.01,0.2
le450_5a.col,40,55049,80000,100,2,0.01,0.2
le450_5b.col,41,37029,80000,100,2,0.01,0.2
le450_5c.col,52,39356,80000,100,2,0.01,0.2
le450_5d.col,52,63738,80000,100,2,0.01,0.2
