instance,num_colors,time,generations,population_size,offspring_size,mutation_probaility,population_ratio
100.col,18,8705,80000,100,2,0.01,0.2
10.col,23,8342,80000,100,2,0.01,0.2
11.col,16,8224,80000,100,2,0.01,0.2
12.col,21,8292,80000,100,2,0.01,0.2
13.col,16,9263,80000,100,2,0.01,0.2
14.col,16,10583,80000,100,2,0.01,0.2
15.col,17,10453,80000,100,2,0.01,0.2
16.col,16,10989,80000,100,2,0.01,0.2
17.col,16,26775,80000,100,2,0.01,0.2
18.col,18,20613,80000,100,2,0.01,0.2
19.col,17,43532,80000,100,2,0.01,0.2
1.col,14,22975,80000,100,2,0.01,0.2
20.col,18,22908,80000,100,2,0.01,0.2
21.col,16,15299,80000,100,2,0.01,0.2
22.col,16,21463,80000,100,2,0.01,0.2
23.col,17,14481,80000,100,2,0.01,0.2
24.col,18,9129,80000,100,2,0.01,0.2
25.col,16,9427,80000,100,2,0.01,0.2
26.col,15,24192,80000,100,2,0.01,0.2
27.col,16,25203,80000,100,2,0.01,0.2
28.col,18,30846,80000,100,2,0.01,0.2
29.col,19,49134,80000,100,2,0.01,0.2
2.col,18,9433,80000,100,2,0.01,0.2
30.col,23,9046,80000,100,2,0.01,0.2
31.col,16,10613,80000,100,2,0.01,0.2
32.col,17,10971,80000,100,2,0.01,0.2
33.col,16,10076,80000,100,2,0.01,0.2
34.col,16,27839,80000,100,2,0.01,0.2
35.col,17,28441,80000,100,2,0.01,0.2
36.col,18,20232,80000,100,2,0.01,0.2
37.col,19,21423,80000,100,2,0.01,0.2
38.col,20,23410,80000,100,2,0.01,0.2
39.col,15,49915,80000,100,2,0.01,0.2
3.col,17,39249,80000,100,2,0.01,0.2
40.col,17,9532,80000,100,2,0.01,0.2
41.col,17,9965,80000,100,2,0.01,0.2
42.col,21,26026,80000,100,2,0.01,0.2
43.col,17,11016,80000,100,2,0.01,0.2
44.col,16,26760,80000,100,2,0.01,0.2
45.col,19,9740,80000,100,2,0.01,0.2
46.col,16,42230,80000,100,2,0.01,0.2
47.col,18,19676,80000,100,2,0.01,0.2
48.col,14,20041,80000,100,2,0.01,0.2
49.col,18,40193,80000,100,2,0.01,0.2
4.col,15,12531,80000,100,2,0.01,0.2
50.col,15,20284,80000,100,2,0.01,0.2
51.col,17,29738,80000,100,2,0.01,0.2
52.col,15,14791,80000,100,2,0.01,0.2
53.col,15,52481,80000,100,2,0.01,0.2
54.col,20,19986,80000,100,2,0.01,0.2
55.col,17,14617,80000,100,2,0.01,0.2
56.col,15,15167,80000,100,2,0.01,0.2
57.col,19,19382,80000,100,2,0.01,0.2
58.col,17,10903,80000,100,2,0.01,0.2
59.col,18,9272,80000,100,2,0.01,0.2
5.col,17,8708,80000,100,2,0.01,0.2
60.col,23,21894,80000,100,2,0.01,0.2
61.col,23,9186,80000,100,2,0.01,0.2
62.col,16,41101,80000,100,2,0.01,0.2
63.col,19,32912,80000,100,2,0.01,0.2
64.col,18,14836,80000,100,2,0.01,0.2
65.col,18,37284,80000,100,2,0.01,0.2
66.col,18,15684,80000,100,2,0.01,0.2
67.col,14,19143,80000,100,2,0.01,0.2
68.col,17,26220,80000,100,2,0.01,0.2
69.col,17,11416,80000,100,2,0.01,0.2
6.col,17,10585,80000,100,2,0.01,0.2
70.col,15,12534,80000,100,2,0.01,0.2
71.col,15,11344,80000,100,2,0.01,0.2
72.col,19,12342,80000,100,2,0.01,0.2
73.col,21,12583,80000,100,2,0.01,0.2
74.col,20,26720,80000,100,2,0.01,0.2
75.col,19,10223,80000,100,2,0.01,0.2
76.col,17,18965,80000,100,2,0.01,0.2
77.col,17,19448,80000,100,2,0.01,0.2
78.col,16,20076,80000,100,2,0.01,0.2
79.col,15,20644,80000,100,2,0.01,0.2
7.col,19,53483,80000,100,2,0.01,0.2
80.col,17,53627,80000,100,2,0.01,0.2
81.col,20,42168,80000,100,2,0.01,0.2
82.col,18,19622,80000,100,2,0.01,0.2
83.col,20,18181,80000,100,2,0.01,0.2
84.col,19,18771,80000,100,2,0.01,0.2
85.col,18,24736,80000,100,2,0.01,0.2
86.col,16,19139,80000,100,2,0.01,0.2
87.col,18,20511,80000,100,2,0.01,0.2
88.col,17,16245,80000,100,2,0.01,0.2
89.col,16,22043,80000,100,2,0.01,0.2
8.col,17,20792,80000,100,2,0.01,0.2
90.col,17,43907,80000,100,2,0.01,0.2
91.col,14,18583,80000,100,2,0.01,0.2
92.col,16,44270,80000,100,2,0.01,0.2
93.col,16,17731,80000,100,2,0.01,0.2
94.col,18,46285,80000,100,2,0.01,0.2
95.col,17,44251,80000,100,2,0.01,0.2
96.col,16,44508,80000,100,2,0.01,0.2
97.col,18,19739,80000,100,2,0.01,0.2
98.col,19,44237,80000,100,2,0.01,0.2
99.col,18,20084,80000,100,2,0.01,0.2
9.col,17,41807,80000,100,2,0.01,0.2
