instance,num_colors,time,pr_solutions
100.col,15,801910,10
10.col,15,1010439,10
11.col,15,988713,10
12.col,15,943453,10
13.col,15,911098,10
14.col,15,790325,10
15.col,15,930295,10
16.col,15,682324,10
17.col,16,917841,10
18.col,15,712999,10
19.col,16,956660,10
1.col,15,798571,10
20.col,15,822151,10
21.col,15,952492,10
22.col,15,813263,10
23.col,15,984538,10
24.col,15,876652,10
25.col,15,983582,10
26.col,15,766905,10
27.col,15,917095,10
28.col,15,792469,10
29.col,15,984337,10
2.col,15,962340,10
30.col,15,814124,10
31.col,15,1018494,10
32.col,16,721628,10
33.col,15,931541,10
34.col,15,779483,10
35.col,15,658269,10
36.col,15,886101,10
37.col,15,671071,10
38.col,16,671299,10
39.col,15,619364,10
3.col,15,907314,10
40.col,15,866914,10
41.col,15,682925,10
42.col,15,680295,10
43.col,16,672251,10
44.col,15,664196,10
45.col,16,914233,10
46.col,15,876830,10
47.col,15,874467,10
48.col,15,875043,10
49.col,15,861250,10
4.col,15,878543,10
50.col,15,667109,10
51.col,15,715394,10
52.col,15,746376,10
53.col,15,959492,10
54.col,15,961849,10
55.col,16,954039,10
56.col,15,952453,10
57.col,15,887134,10
58.col,15,1025583,10
59.col,15,1057201,10
5.col,15,955601,10
60.col,15,872519,10
61.col,15,884988,10
62.col,16,875148,10
63.col,16,865126,10
64.col,15,664562,10
65.col,15,1021205,10
66.col,16,987561,10
67.col,15,980185,10
68.col,15,921024,10
69.col,16,669397,10
6.col,15,665063,10
70.col,15,636217,10
71.col,15,903523,10
72.col,16,667365,10
73.col,15,681730,10
74.col,15,889246,10
75.col,15,671902,10
76.col,15,920007,10
77.col,15,926288,10
78.col,15,941780,10
79.col,15,672205,10
7.col,15,623920,10
80.col,15,615851,10
81.col,15,624325,10
82.col,16,618804,10
83.col,15,616923,10
84.col,15,604985,10
85.col,16,620333,10
86.col,15,611703,10
87.col,15,621244,10
88.col,15,602621,10
89.col,15,618212,10
8.col,15,614209,10
90.col,15,611928,10
91.col,15,619894,10
92.col,15,614502,10
93.col,15,615078,10
94.col,15,623832,10
95.col,15,610622,10
96.col,15,613002,10
97.col,15,610408,10
98.col,15,617992,10
99.col,15,612252,10
9.col,15,622267,10
