instance,num_colors,time,GIter,CIter,CSize
le450_15a.col,17,2592,5,5,3
le450_15a.col,17,2491,5,5,6
le450_15a.col,18,2504,5,5,9
le450_15a.col,17,7241,5,15,3
le450_15a.col,17,8127,5,15,6
le450_15a.col,18,7590,5,15,9
le450_15a.col,17,14243,5,25,3
le450_15a.col,17,12641,5,25,6
le450_15a.col,17,11906,5,25,9
le450_15a.col,17,6173,15,5,3
le450_15a.col,17,7043,15,5,6
le450_15a.col,17,7559,15,5,9
le450_15a.col,17,18014,15,15,3
le450_15a.col,17,19994,15,15,6
le450_15a.col,17,17526,15,15,9
le450_15a.col,16,32364,15,25,3
le450_15a.col,17,30450,15,25,6
le450_15a.col,17,28189,15,25,9
le450_15a.col,17,10958,25,5,3
le450_15a.col,17,10941,25,5,6
le450_15a.col,17,10868,25,5,9
le450_15a.col,17,32222,25,15,3
le450_15a.col,17,30941,25,15,6
le450_15a.col,17,31051,25,15,9
le450_15a.col,17,54037,25,25,3
le450_15a.col,17,51195,25,25,6
le450_15a.col,17,51025,25,25,9
le450_15b.col,17,2681,5,5,3
le450_15b.col,17,2753,5,5,6
le450_15b.col,18,2734,5,5,9
le450_15b.col,17,8118,5,15,3
le450_15b.col,17,7878,5,15,6
le450_15b.col,18,7520,5,15,9
le450_15b.col,17,12657,5,25,3
le450_15b.col,18,12321,5,25,6
le450_15b.col,18,12893,5,25,9
le450_15b.col,17,6603,15,5,3
le450_15b.col,17,6393,15,5,6
le450_15b.col,17,6665,15,5,9
le450_15b.col,17,19357,15,15,3
le450_15b.col,17,18820,15,15,6
le450_15b.col,17,18709,15,15,9
le450_15b.col,17,32087,15,25,3
le450_15b.col,17,31117,15,25,6
le450_15b.col,17,31234,15,25,9
le450_15b.col,17,11709,25,5,3
le450_15b.col,17,11514,25,5,6
le450_15b.col,17,11296,25,5,9
le450_15b.col,17,33352,25,15,3
le450_15b.col,17,33598,25,15,6
le450_15b.col,17,32180,25,15,9
le450_15b.col,16,55062,25,25,3
