instance,num_colors,time,GIter,CIter,CSize
1.col,10,14332,25,25,3
2.col,9,13529,25,25,3
3.col,9,14564,25,25,3
4.col,9,14732,25,25,3
5.col,9,14916,25,25,3
6.col,9,14342,25,25,3
7.col,9,15585,25,25,3
8.col,10,15140,25,25,3
9.col,10,14608,25,25,3
10.col,9,14081,25,25,3
11.col,10,14331,25,25,3
12.col,9,14709,25,25,3
13.col,9,14568,25,25,3
14.col,10,14682,25,25,3
15.col,10,14058,25,25,3
16.col,9,13914,25,25,3
17.col,9,13500,25,25,3
18.col,10,14276,25,25,3
19.col,9,14367,25,25,3
20.col,9,13777,25,25,3
21.col,9,14099,25,25,3
22.col,9,14182,25,25,3
23.col,9,14083,25,25,3
24.col,10,13963,25,25,3
25.col,10,14598,25,25,3
26.col,9,14203,25,25,3
27.col,9,15224,25,25,3
28.col,10,14454,25,25,3
29.col,10,14473,25,25,3
30.col,9,14321,25,25,3
31.col,9,14112,25,25,3
32.col,9,13985,25,25,3
33.col,10,13742,25,25,3
34.col,9,14488,25,25,3
35.col,10,14484,25,25,3
36.col,10,14137,25,25,3
37.col,10,14890,25,25,3
38.col,9,14697,25,25,3
39.col,10,14849,25,25,3
40.col,9,14346,25,25,3
41.col,10,14399,25,25,3
42.col,9,14406,25,25,3
43.col,9,14339,25,25,3
44.col,10,14900,25,25,3
45.col,10,14371,25,25,3
46.col,9,14487,25,25,3
47.col,9,14692,25,25,3
48.col,9,14390,25,25,3
49.col,9,14599,25,25,3
50.col,9,15190,25,25,3
51.col,9,14487,25,25,3
52.col,9,13951,25,25,3
53.col,9,15421,25,25,3
54.col,9,15183,25,25,3
55.col,9,14840,25,25,3
56.col,9,14943,25,25,3
57.col,9,14766,25,25,3
58.col,9,14489,25,25,3
59.col,9,15975,25,25,3
60.col,9,15157,25,25,3
61.col,10,14569,25,25,3
62.col,10,14818,25,25,3
63.col,9,14840,25,25,3
64.col,9,14639,25,25,3
65.col,10,14711,25,25,3
66.col,9,14723,25,25,3
67.col,9,14365,25,25,3
68.col,10,14711,25,25,3
69.col,10,15333,25,25,3
70.col,9,14407,25,25,3
71.col,9,14425,25,25,3
72.col,9,14239,25,25,3
73.col,9,14804,25,25,3
74.col,9,14728,25,25,3
75.col,9,14789,25,25,3
76.col,10,14672,25,25,3
77.col,9,14845,25,25,3
78.col,9,15016,25,25,3
79.col,10,15528,25,25,3
80.col,9,15554,25,25,3
81.col,10,14755,25,25,3
82.col,10,14753,25,25,3
83.col,10,15315,25,25,3
84.col,10,14766,25,25,3
85.col,9,14902,25,25,3
86.col,9,15090,25,25,3
87.col,9,14913,25,25,3
88.col,10,15221,25,25,3
89.col,10,14896,25,25,3
90.col,9,15096,25,25,3
91.col,9,14276,25,25,3
92.col,10,15607,25,25,3
93.col,9,15289,25,25,3
94.col,9,14901,25,25,3
95.col,9,15104,25,25,3
96.col,9,14766,25,25,3
97.col,10,15171,25,25,3
98.col,9,15058,25,25,3
99.col,9,14933,25,25,3
100.col,10,14567,25,25,3
