instance,num_colors,time
1.col,15,225184
2.col,15,230634
3.col,15,220397
4.col,15,227162
5.col,15,235649
6.col,15,232053
7.col,15,231187
8.col,15,226109
9.col,15,235609
10.col,15,235015
11.col,15,232250
12.col,15,236452
13.col,15,233272
14.col,15,238112
15.col,15,235149
16.col,15,239904
17.col,15,234141
18.col,15,225356
19.col,15,235712
20.col,15,221594
21.col,15,229985
22.col,15,229467
23.col,15,234741
24.col,15,230436
25.col,15,235438
26.col,15,230478
27.col,15,231659
28.col,15,230141
29.col,15,227905
30.col,15,235612
31.col,15,237597
32.col,15,231302
33.col,15,232082
34.col,15,225054
35.col,15,218370
36.col,15,230015
37.col,15,232920
38.col,15,231613
39.col,15,229095
40.col,15,229774
41.col,15,234650
42.col,15,227329
43.col,15,230570
44.col,15,229770
45.col,16,230903
46.col,15,233316
47.col,15,227130
48.col,15,224279
49.col,15,231873
50.col,15,233737
51.col,15,228763
52.col,15,222426
53.col,15,233753
54.col,15,233560
55.col,15,232154
56.col,15,232142
57.col,15,233117
58.col,15,229748
59.col,15,230026
60.col,15,231322
61.col,16,235070
62.col,15,227810
63.col,15,229760
64.col,15,235614
65.col,15,231753
66.col,15,234006
67.col,15,233148
68.col,15,221591
69.col,15,222839
70.col,15,228118
71.col,15,233164
72.col,15,234383
73.col,15,229756
74.col,15,229819
75.col,15,233730
76.col,15,231682
77.col,15,229284
78.col,15,234722
79.col,15,230218
80.col,15,233560
81.col,15,232927
82.col,15,233793
83.col,15,233061
84.col,15,228643
85.col,15,235310
86.col,15,230973
87.col,15,232003
88.col,15,218799
89.col,15,234182
90.col,15,222565
91.col,15,232366
92.col,15,231230
93.col,15,232379
94.col,15,233736
95.col,15,230343
96.col,15,224945
97.col,15,227291
98.col,15,232609
99.col,15,229881
100.col,15,232272
