instance,num_colors,time,GIter,CIter,CSize
fpsol2.i.1.col,65,1900,5,5,3
fpsol2.i.1.col,65,1841,5,5,6
fpsol2.i.1.col,65,1737,5,5,9
fpsol2.i.1.col,65,5409,5,15,3
fpsol2.i.1.col,65,4675,5,15,6
fpsol2.i.1.col,65,4547,5,15,9
fpsol2.i.1.col,65,9234,5,25,3
fpsol2.i.1.col,65,8344,5,25,6
fpsol2.i.1.col,65,7924,5,25,9
fpsol2.i.1.col,65,4844,15,5,3
fpsol2.i.1.col,65,4341,15,5,6
fpsol2.i.1.col,65,4043,15,5,9
fpsol2.i.1.col,65,13660,15,15,3
fpsol2.i.1.col,65,12313,15,15,6
fpsol2.i.1.col,65,11687,15,15,9
fpsol2.i.1.col,65,23308,15,25,3
fpsol2.i.1.col,65,20007,15,25,6
fpsol2.i.1.col,65,19007,15,25,9
fpsol2.i.1.col,65,8600,25,5,3
fpsol2.i.1.col,65,7526,25,5,6
fpsol2.i.1.col,65,7051,25,5,9
fpsol2.i.1.col,65,24031,25,15,3
fpsol2.i.1.col,65,20510,25,15,6
fpsol2.i.1.col,65,19734,25,15,9
fpsol2.i.1.col,65,39191,25,25,3
fpsol2.i.1.col,65,33809,25,25,6
fpsol2.i.1.col,65,32063,25,25,9
fpsol2.i.2.col,30,1628,5,5,3
fpsol2.i.2.col,30,1343,5,5,6
fpsol2.i.2.col,30,1164,5,5,9
fpsol2.i.2.col,30,3988,5,15,3
fpsol2.i.2.col,30,3003,5,15,6
fpsol2.i.2.col,30,2798,5,15,9
fpsol2.i.2.col,30,6561,5,25,3
fpsol2.i.2.col,30,4656,5,25,6
fpsol2.i.2.col,30,4326,5,25,9
fpsol2.i.2.col,30,3410,15,5,3
fpsol2.i.2.col,30,3144,15,5,6
fpsol2.i.2.col,30,2685,15,5,9
fpsol2.i.2.col,30,8957,15,15,3
fpsol2.i.2.col,30,7206,15,15,6
fpsol2.i.2.col,30,6031,15,15,9
fpsol2.i.2.col,30,13738,15,25,3
fpsol2.i.2.col,30,10909,15,25,6
fpsol2.i.2.col,30,9519,15,25,9
fpsol2.i.2.col,30,5907,25,5,3
fpsol2.i.2.col,30,5139,25,5,6
fpsol2.i.2.col,30,4865,25,5,9
fpsol2.i.2.col,30,14869,25,15,3
fpsol2.i.2.col,30,11489,25,15,6
fpsol2.i.2.col,30,10543,25,15,9
fpsol2.i.2.col,30,24201,25,25,3
fpsol2.i.2.col,30,18288,25,25,6
fpsol2.i.2.col,30,16386,25,25,9
fpsol2.i.3.col,30,1454,5,5,3
fpsol2.i.3.col,30,1396,5,5,6
fpsol2.i.3.col,30,1210,5,5,9
fpsol2.i.3.col,30,3572,5,15,3
fpsol2.i.3.col,30,2746,5,15,6
fpsol2.i.3.col,30,2272,5,15,9
fpsol2.i.3.col,30,5359,5,25,3
fpsol2.i.3.col,30,4110,5,25,6
fpsol2.i.3.col,30,3403,5,25,9
fpsol2.i.3.col,30,3276,15,5,3
fpsol2.i.3.col,30,2722,15,5,6
fpsol2.i.3.col,30,2639,15,5,9
fpsol2.i.3.col,30,7694,15,15,3
fpsol2.i.3.col,30,5998,15,15,6
fpsol2.i.3.col,30,5512,15,15,9
fpsol2.i.3.col,30,12495,15,25,3
fpsol2.i.3.col,30,9127,15,25,6
fpsol2.i.3.col,30,8862,15,25,9
fpsol2.i.3.col,30,5413,25,5,3
fpsol2.i.3.col,30,4684,25,5,6
fpsol2.i.3.col,30,4205,25,5,9
fpsol2.i.3.col,30,13354,25,15,3
fpsol2.i.3.col,30,10627,25,15,6
fpsol2.i.3.col,30,9200,25,15,9
fpsol2.i.3.col,30,21635,25,25,3
fpsol2.i.3.col,30,16050,25,25,6
fpsol2.i.3.col,30,14354,25,25,9
inithx.i.1.col,54,8288,5,5,3
inithx.i.1.col,54,7410,5,5,6
inithx.i.1.col,54,7157,5,5,9
inithx.i.1.col,54,23397,5,15,3
inithx.i.1.col,54,19635,5,15,6
inithx.i.1.col,54,18164,5,15,9
inithx.i.1.col,54,37799,5,25,3
inithx.i.1.col,54,31460,5,25,6
inithx.i.1.col,54,30201,5,25,9
inithx.i.1.col,54,20487,15,5,3
inithx.i.1.col,54,18111,15,5,6
inithx.i.1.col,54,16690,15,5,9
inithx.i.1.col,54,54410,15,15,3
inithx.i.1.col,54,46310,15,15,6
inithx.i.1.col,54,43040,15,15,9
inithx.i.1.col,54,86252,15,25,3
inithx.i.1.col,54,74157,15,25,6
inithx.i.1.col,54,69526,15,25,9
inithx.i.1.col,54,34048,25,5,3
inithx.i.1.col,54,30212,25,5,6
inithx.i.1.col,54,29095,25,5,9
inithx.i.1.col,54,92615,25,15,3
inithx.i.1.col,54,80398,25,15,6
inithx.i.1.col,54,72272,25,15,9
inithx.i.1.col,54,152841,25,25,3
inithx.i.1.col,54,131408,25,25,6
inithx.i.1.col,54,120924,25,25,9
inithx.i.2.col,31,5044,5,5,3
inithx.i.2.col,31,4367,5,5,6
inithx.i.2.col,31,3916,5,5,9
inithx.i.2.col,31,11656,5,15,3
inithx.i.2.col,31,9422,5,15,6
inithx.i.2.col,31,8076,5,15,9
inithx.i.2.col,31,18002,5,25,3
inithx.i.2.col,31,15282,5,25,6
inithx.i.2.col,31,11558,5,25,9
inithx.i.2.col,31,13351,15,5,3
inithx.i.2.col,31,9515,15,5,6
inithx.i.2.col,31,9007,15,5,9
inithx.i.2.col,31,27224,15,15,3
inithx.i.2.col,31,19992,15,15,6
inithx.i.2.col,31,19201,15,15,9
inithx.i.2.col,31,43006,15,25,3
inithx.i.2.col,31,29811,15,25,6
inithx.i.2.col,31,29141,15,25,9
inithx.i.2.col,31,19574,25,5,3
inithx.i.2.col,31,16776,25,5,6
inithx.i.2.col,31,15400,25,5,9
inithx.i.2.col,31,46156,25,15,3
inithx.i.2.col,31,35828,25,15,6
inithx.i.2.col,31,31890,25,15,9
inithx.i.2.col,31,69483,25,25,3
inithx.i.2.col,31,52917,25,25,6
inithx.i.2.col,31,46415,25,25,9
inithx.i.3.col,31,4641,5,5,3
inithx.i.3.col,31,3997,5,5,6
inithx.i.3.col,31,3450,5,5,9
inithx.i.3.col,31,11133,5,15,3
inithx.i.3.col,31,8836,5,15,6
inithx.i.3.col,31,7998,5,15,9
inithx.i.3.col,31,19055,5,25,3
inithx.i.3.col,31,13441,5,25,6
inithx.i.3.col,31,12226,5,25,9
inithx.i.3.col,31,11362,15,5,3
inithx.i.3.col,31,9415,15,5,6
inithx.i.3.col,31,8674,15,5,9
inithx.i.3.col,31,24632,15,15,3
inithx.i.3.col,31,19928,15,15,6
inithx.i.3.col,31,17282,15,15,9
inithx.i.3.col,31,35733,15,25,3
inithx.i.3.col,31,29112,15,25,6
inithx.i.3.col,31,23905,15,25,9
inithx.i.3.col,31,18423,25,5,3
inithx.i.3.col,31,16039,25,5,6
inithx.i.3.col,31,14725,25,5,9
inithx.i.3.col,31,39839,25,15,3
inithx.i.3.col,31,33420,25,15,6
inithx.i.3.col,31,28636,25,15,9
inithx.i.3.col,31,60075,25,25,3
inithx.i.3.col,31,48074,25,25,6
inithx.i.3.col,31,41042,25,25,9
mulsol.i.1.col,49,172,5,5,3
mulsol.i.1.col,49,200,5,5,6
mulsol.i.1.col,49,173,5,5,9
mulsol.i.1.col,49,512,5,15,3
mulsol.i.1.col,49,441,5,15,6
mulsol.i.1.col,49,453,5,15,9
mulsol.i.1.col,49,833,5,25,3
mulsol.i.1.col,49,732,5,25,6
mulsol.i.1.col,49,696,5,25,9
mulsol.i.1.col,49,432,15,5,3
mulsol.i.1.col,49,371,15,5,6
mulsol.i.1.col,49,376,15,5,9
mulsol.i.1.col,49,1232,15,15,3
mulsol.i.1.col,49,1032,15,15,6
mulsol.i.1.col,49,1013,15,15,9
mulsol.i.1.col,49,1917,15,25,3
mulsol.i.1.col,49,1737,15,25,6
mulsol.i.1.col,49,1902,15,25,9
mulsol.i.1.col,49,1086,25,5,3
mulsol.i.1.col,49,1020,25,5,6
mulsol.i.1.col,49,685,25,5,9
mulsol.i.1.col,49,2119,25,15,3
mulsol.i.1.col,49,1830,25,15,6
mulsol.i.1.col,49,1785,25,15,9
mulsol.i.1.col,49,3400,25,25,3
mulsol.i.1.col,49,3063,25,25,6
mulsol.i.1.col,49,2910,25,25,9
mulsol.i.2.col,31,249,5,5,3
mulsol.i.2.col,31,194,5,5,6
mulsol.i.2.col,31,147,5,5,9
mulsol.i.2.col,31,414,5,15,3
mulsol.i.2.col,31,351,5,15,6
mulsol.i.2.col,31,382,5,15,9
mulsol.i.2.col,31,742,5,25,3
mulsol.i.2.col,31,579,5,25,6
mulsol.i.2.col,31,549,5,25,9
mulsol.i.2.col,31,391,15,5,3
mulsol.i.2.col,31,357,15,5,6
mulsol.i.2.col,31,344,15,5,9
mulsol.i.2.col,31,1006,15,15,3
mulsol.i.2.col,31,835,15,15,6
mulsol.i.2.col,31,767,15,15,9
