instance,num_colors,time,GIter,CIter,CSize
myciel3.col,4,1,5,5,3
myciel3.col,4,1,5,5,6
myciel3.col,4,1,5,5,9
myciel3.col,4,1,5,15,3
myciel3.col,4,2,5,15,6
myciel3.col,4,1,5,15,9
myciel3.col,4,1,5,25,3
myciel3.col,4,2,5,25,6
myciel3.col,4,1,5,25,9
myciel3.col,4,1,15,5,3
myciel3.col,4,1,15,5,6
myciel3.col,4,1,15,5,9
myciel3.col,4,1,15,15,3
myciel3.col,4,1,15,15,6
myciel3.col,4,1,15,15,9
myciel3.col,4,5,15,25,3
myciel3.col,4,3,15,25,6
myciel3.col,4,2,15,25,9
myciel3.col,4,2,25,5,3
myciel3.col,4,1,25,5,6
myciel3.col,4,5,25,5,9
myciel3.col,4,3,25,15,3
myciel3.col,4,1,25,15,6
myciel3.col,4,2,25,15,9
myciel3.col,4,1,25,25,3
myciel3.col,4,2,25,25,6
myciel3.col,4,4,25,25,9
myciel4.col,5,2,5,5,3
myciel4.col,5,2,5,5,6
myciel4.col,5,1,5,5,9
myciel4.col,5,2,5,15,3
myciel4.col,5,2,5,15,6
myciel4.col,5,2,5,15,9
myciel4.col,5,4,5,25,3
myciel4.col,5,3,5,25,6
myciel4.col,5,2,5,25,9
myciel4.col,5,5,15,5,3
myciel4.col,5,4,15,5,6
myciel4.col,5,2,15,5,9
myciel4.col,5,3,15,15,3
myciel4.col,5,11,15,15,6
myciel4.col,5,5,15,15,9
myciel4.col,5,3,15,25,3
myciel4.col,5,15,15,25,6
myciel4.col,5,6,15,25,9
myciel4.col,5,2,25,5,3
myciel4.col,5,2,25,5,6
myciel4.col,5,2,25,5,9
myciel4.col,5,15,25,15,3
myciel4.col,5,5,25,15,6
myciel4.col,5,3,25,15,9
myciel4.col,5,18,25,25,3
myciel4.col,5,6,25,25,6
myciel4.col,5,15,25,25,9
myciel5.col,6,6,5,5,3
myciel5.col,6,4,5,5,6
myciel5.col,6,4,5,5,9
myciel5.col,6,9,5,15,3
myciel5.col,6,8,5,15,6
myciel5.col,6,5,5,15,9
myciel5.col,6,12,5,25,3
myciel5.col,6,10,5,25,6
myciel5.col,6,12,5,25,9
myciel5.col,6,5,15,5,3
myciel5.col,6,5,15,5,6
myciel5.col,6,21,15,5,9
myciel5.col,6,11,15,15,3
myciel5.col,6,29,15,15,6
myciel5.col,6,31,15,15,9
myciel5.col,6,35,15,25,3
myciel5.col,6,33,15,25,6
myciel5.col,6,36,15,25,9
myciel5.col,6,25,25,5,3
myciel5.col,6,7,25,5,6
myciel5.col,6,7,25,5,9
myciel5.col,6,34,25,15,3
myciel5.col,6,34,25,15,6
myciel5.col,6,35,25,15,9
myciel5.col,6,60,25,25,3
myciel5.col,6,41,25,25,6
myciel5.col,6,43,25,25,9
myciel6.col,7,37,5,5,3
myciel6.col,7,26,5,5,6
myciel6.col,7,20,5,5,9
myciel6.col,7,51,5,15,3
myciel6.col,7,53,5,15,6
myciel6.col,7,39,5,15,9
myciel6.col,7,80,5,25,3
myciel6.col,7,72,5,25,6
myciel6.col,7,71,5,25,9
myciel6.col,7,60,15,5,3
myciel6.col,7,55,15,5,6
myciel6.col,7,53,15,5,9
myciel6.col,7,105,15,15,3
myciel6.col,7,105,15,15,6
myciel6.col,7,103,15,15,9
myciel6.col,7,169,15,25,3
myciel6.col,7,819,25,25,3
myciel7.col,8,12619,25,25,3
