instance,num_colors,time,generations,population_size,offspring_size,mutation_probaility,population_ratio
100.col,5,2532,80000,100,2,0.01,0.2
10.col,5,2273,80000,100,2,0.01,0.2
11.col,5,2238,80000,100,2,0.01,0.2
12.col,5,2343,80000,100,2,0.01,0.2
13.col,5,2395,80000,100,2,0.01,0.2
14.col,5,2342,80000,100,2,0.01,0.2
15.col,6,2320,80000,100,2,0.01,0.2
16.col,5,2561,80000,100,2,0.01,0.2
17.col,5,2411,80000,100,2,0.01,0.2
18.col,5,2372,80000,100,2,0.01,0.2
19.col,5,2559,80000,100,2,0.01,0.2
1.col,5,2395,80000,100,2,0.01,0.2
20.col,5,2394,80000,100,2,0.01,0.2
21.col,4,2491,80000,100,2,0.01,0.2
22.col,4,2336,80000,100,2,0.01,0.2
23.col,5,2723,80000,100,2,0.01,0.2
24.col,5,2363,80000,100,2,0.01,0.2
25.col,4,2364,80000,100,2,0.01,0.2
26.col,5,2477,80000,100,2,0.01,0.2
27.col,5,2340,80000,100,2,0.01,0.2
28.col,5,2431,80000,100,2,0.01,0.2
29.col,5,2349,80000,100,2,0.01,0.2
2.col,5,2348,80000,100,2,0.01,0.2
30.col,6,2468,80000,100,2,0.01,0.2
31.col,5,2607,80000,100,2,0.01,0.2
32.col,5,5454,80000,100,2,0.01,0.2
33.col,5,5458,80000,100,2,0.01,0.2
34.col,5,5414,80000,100,2,0.01,0.2
35.col,5,5238,80000,100,2,0.01,0.2
36.col,5,4137,80000,100,2,0.01,0.2
37.col,5,2155,80000,100,2,0.01,0.2
38.col,5,3986,80000,100,2,0.01,0.2
39.col,5,5424,80000,100,2,0.01,0.2
3.col,5,2585,80000,100,2,0.01,0.2
40.col,5,2429,80000,100,2,0.01,0.2
41.col,5,5439,80000,100,2,0.01,0.2
42.col,4,2405,80000,100,2,0.01,0.2
43.col,4,2782,80000,100,2,0.01,0.2
44.col,4,4122,80000,100,2,0.01,0.2
45.col,5,2211,80000,100,2,0.01,0.2
46.col,6,4494,80000,100,2,0.01,0.2
47.col,5,5282,80000,100,2,0.01,0.2
48.col,5,4020,80000,100,2,0.01,0.2
49.col,6,2215,80000,100,2,0.01,0.2
4.col,5,4228,80000,100,2,0.01,0.2
50.col,5,5093,80000,100,2,0.01,0.2
51.col,4,2162,80000,100,2,0.01,0.2
52.col,5,3214,80000,100,2,0.01,0.2
53.col,5,5495,80000,100,2,0.01,0.2
54.col,4,3295,80000,100,2,0.01,0.2
55.col,5,2301,80000,100,2,0.01,0.2
56.col,5,4579,80000,100,2,0.01,0.2
57.col,4,2149,80000,100,2,0.01,0.2
58.col,6,3455,80000,100,2,0.01,0.2
59.col,4,3431,80000,100,2,0.01,0.2
5.col,4,2261,80000,100,2,0.01,0.2
60.col,5,5190,80000,100,2,0.01,0.2
61.col,5,3497,80000,100,2,0.01,0.2
62.col,5,2142,80000,100,2,0.01,0.2
63.col,5,4575,80000,100,2,0.01,0.2
64.col,5,3393,80000,100,2,0.01,0.2
65.col,6,2317,80000,100,2,0.01,0.2
66.col,5,4823,80000,100,2,0.01,0.2
67.col,5,5472,80000,100,2,0.01,0.2
68.col,4,3476,80000,100,2,0.01,0.2
69.col,6,2171,80000,100,2,0.01,0.2
6.col,5,4893,80000,100,2,0.01,0.2
70.col,5,3812,80000,100,2,0.01,0.2
71.col,5,2328,80000,100,2,0.01,0.2
72.col,5,4763,80000,100,2,0.01,0.2
73.col,4,5302,80000,100,2,0.01,0.2
74.col,5,2605,80000,100,2,0.01,0.2
75.col,5,2722,80000,100,2,0.01,0.2
76.col,4,5641,80000,100,2,0.01,0.2
77.col,4,5412,80000,100,2,0.01,0.2
78.col,6,2319,80000,100,2,0.01,0.2
79.col,5,2648,80000,100,2,0.01,0.2
7.col,5,4171,80000,100,2,0.01,0.2
80.col,5,2267,80000,100,2,0.01,0.2
81.col,5,4467,80000,100,2,0.01,0.2
82.col,5,4268,80000,100,2,0.01,0.2
83.col,4,2148,80000,100,2,0.01,0.2
84.col,5,3949,80000,100,2,0.01,0.2
85.col,5,4075,80000,100,2,0.01,0.2
86.col,4,2089,80000,100,2,0.01,0.2
87.col,6,4319,80000,100,2,0.01,0.2
88.col,5,4454,80000,100,2,0.01,0.2
89.col,5,2159,80000,100,2,0.01,0.2
8.col,5,4057,80000,100,2,0.01,0.2
90.col,5,5460,80000,100,2,0.01,0.2
91.col,5,3875,80000,100,2,0.01,0.2
92.col,5,2275,80000,100,2,0.01,0.2
93.col,5,4655,80000,100,2,0.01,0.2
94.col,6,2820,80000,100,2,0.01,0.2
95.col,5,2240,80000,100,2,0.01,0.2
96.col,5,4575,80000,100,2,0.01,0.2
97.col,5,2257,80000,100,2,0.01,0.2
98.col,4,3814,80000,100,2,0.01,0.2
99.col,5,4241,80000,100,2,0.01,0.2
9.col,5,2265,80000,100,2,0.01,0.2
