instance,num_colors,time,pr_solutions
100.col,4,50,10
10.col,4,56,10
11.col,4,62,10
12.col,4,54,10
13.col,4,50,10
14.col,4,47,10
15.col,4,46,10
16.col,4,46,10
17.col,4,48,10
18.col,4,53,10
19.col,4,50,10
1.col,4,60,10
20.col,4,57,10
21.col,4,47,10
22.col,4,46,10
23.col,4,45,10
24.col,4,43,10
25.col,5,56,10
26.col,4,42,10
27.col,4,50,10
28.col,4,50,10
29.col,4,49,10
2.col,5,57,10
30.col,4,50,10
31.col,4,52,10
32.col,4,55,10
33.col,4,55,10
34.col,4,59,10
35.col,4,49,10
36.col,4,57,10
37.col,4,54,10
38.col,4,51,10
39.col,4,52,10
3.col,4,53,10
40.col,4,56,10
41.col,4,51,10
42.col,4,48,10
43.col,4,52,10
44.col,4,49,10
45.col,4,49,10
46.col,4,48,10
47.col,4,52,10
48.col,4,50,10
49.col,4,50,10
4.col,4,50,10
50.col,4,56,10
51.col,4,44,10
52.col,4,47,10
53.col,4,60,10
54.col,4,68,10
55.col,4,70,10
56.col,4,76,10
57.col,3,64,10
58.col,4,75,10
59.col,4,72,10
5.col,4,67,10
60.col,4,65,10
61.col,4,78,10
62.col,4,72,10
63.col,4,73,10
64.col,4,71,10
65.col,4,92,10
66.col,4,86,10
67.col,4,84,10
68.col,4,77,10
69.col,4,74,10
6.col,4,69,10
70.col,4,81,10
71.col,4,88,10
72.col,4,104,10
73.col,4,127,10
74.col,4,94,10
75.col,4,73,10
76.col,4,55,10
77.col,4,64,10
78.col,4,59,10
79.col,4,57,10
7.col,4,61,10
80.col,4,52,10
81.col,4,53,10
82.col,4,57,10
83.col,3,51,10
84.col,4,53,10
85.col,4,60,10
86.col,3,46,10
87.col,4,58,10
88.col,4,54,10
89.col,4,59,10
8.col,4,49,10
90.col,4,51,10
91.col,4,55,10
92.col,4,54,10
93.col,4,53,10
94.col,4,53,10
95.col,4,48,10
96.col,4,52,10
97.col,4,56,10
98.col,4,53,10
99.col,4,66,10
9.col,4,56,10
